Title_GoldenGlobes,Title_Oscars,Similarity,Verification,Year_GG,Year_Oscars,year_film_x,year_award,ceremony_x,category_x,nominee,film_x,gg_win,standardized_film_goldenglobes,year_film_y,year_ceremony,ceremony_y,category_y,name,film_y,oscar_win,standardized_film_oscars
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,ART DIRECTION,Tim Yip,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,CINEMATOGRAPHY,Peter Pau,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,COSTUME DESIGN,Tim Yip,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,DIRECTING,Ang Lee,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,FILM EDITING,Tim Squyres,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,FOREIGN LANGUAGE FILM,Taiwan,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,MUSIC (Original Score),Tan Dun,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,MUSIC (Original Song),Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,BEST PICTURE,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Director - Motion Picture,Ang Lee,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon,2000,2001,73,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,ART DIRECTION,Tim Yip,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,CINEMATOGRAPHY,Peter Pau,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,COSTUME DESIGN,Tim Yip,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,DIRECTING,Ang Lee,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,FILM EDITING,Tim Squyres,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,FOREIGN LANGUAGE FILM,Taiwan,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,MUSIC (Original Score),Tan Dun,"Crouching Tiger, Hidden Dragon",TRUE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,MUSIC (Original Song),Music by Jorge Calandrelli and Tan Dun; Lyric by James Schamus,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,BEST PICTURE,"Bill Kong, Hsu Li Kong and Ang Lee, Producers","Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
crouching tiger hidden dragon,crouching tiger hidden dragon,1,TRUE,2000,2000,2000,2001,58,Best Original Score - Motion Picture,Tan Dun,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon,2000,2001,73,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Wang Hui Ling and James Schamus and Tsai Kuo Jung,"Crouching Tiger, Hidden Dragon",FALSE,crouching tiger hidden dragon
monsters ball,monsters ball,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Monster's Ball,FALSE,monsters ball,2001,2002,74,ACTRESS IN A LEADING ROLE,Halle Berry,Monster's Ball,TRUE,monsters ball
monsters ball,monsters ball,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Halle Berry,Monster's Ball,FALSE,monsters ball,2001,2002,74,WRITING (Screenplay Written Directly for the Screen),Written by Milo Addica & Will Rokos,Monster's Ball,FALSE,monsters ball
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,FALSE,iris,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,TRUE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,FALSE,iris,2001,2002,74,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,FALSE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Iris,FALSE,iris,2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Iris,FALSE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Iris,FALSE,iris,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,TRUE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Iris,FALSE,iris,2001,2002,74,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,FALSE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Kate Winslet,Iris,FALSE,iris,2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Iris,FALSE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris,TRUE,iris,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Jim Broadbent,Iris,TRUE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris,TRUE,iris,2001,2002,74,ACTRESS IN A LEADING ROLE,Judi Dench,Iris,FALSE,iris
iris,iris,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jim Broadbent,Iris,TRUE,iris,2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Iris,FALSE,iris
kate  leopold,kate  leopold,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Hugh Jackman,Kate & Leopold,FALSE,kate  leopold,2001,2002,74,MUSIC (Original Song),Music and Lyric by Sting,Kate & Leopold,FALSE,kate  leopold
kate  leopold,kate  leopold,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""Until…"", Sting",Kate & Leopold,TRUE,kate  leopold,2001,2002,74,MUSIC (Original Song),Music and Lyric by Sting,Kate & Leopold,FALSE,kate  leopold
vanilla sky,vanilla sky,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cameron Diaz,Vanilla Sky,FALSE,vanilla sky,2001,2002,74,MUSIC (Original Song),Music and Lyric by Paul McCartney,Vanilla Sky,FALSE,vanilla sky
vanilla sky,vanilla sky,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""Vanilla Sky"", Paul McCartney",Vanilla Sky,FALSE,vanilla sky,2001,2002,74,MUSIC (Original Song),Music and Lyric by Paul McCartney,Vanilla Sky,FALSE,vanilla sky
sexy beast,sexy beast,1,TRUE,2001,2001,2001,2002,59,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Kingsley,Sexy Beast,FALSE,sexy beast,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ben Kingsley,Sexy Beast,FALSE,sexy beast
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ART DIRECTION,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,COSTUME DESIGN,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,DIRECTING,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,FILM EDITING,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MAKEUP,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Song),"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,SOUND,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Director - Motion Picture,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ART DIRECTION,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,COSTUME DESIGN,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,DIRECTING,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,FILM EDITING,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MAKEUP,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Song),"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,SOUND,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Score - Motion Picture,Howard Shore,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,ART DIRECTION,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,COSTUME DESIGN,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,DIRECTING,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,FILM EDITING,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MAKEUP,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,MUSIC (Original Song),"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,SOUND,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring,TRUE,the lord of the rings the fellowship of the ring
the lord of the rings the fellowship of the ring,the lord of the rings the fellowship of the ring,1,TRUE,2001,2001,2001,2002,59,Best Original Song - Motion Picture,"""May It Be"", Enya",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring,2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring,FALSE,the lord of the rings the fellowship of the ring
memento,memento,1,TRUE,2001,2001,2001,2002,59,Best Screenplay - Motion Picture,Christopher Nolan,Memento,FALSE,memento,2001,2002,74,FILM EDITING,Dody Dorn,Memento,FALSE,memento
memento,memento,1,TRUE,2001,2001,2001,2002,59,Best Screenplay - Motion Picture,Christopher Nolan,Memento,FALSE,memento,2001,2002,74,WRITING (Screenplay Written Directly for the Screen),Screenplay by Christopher Nolan; Story by Jonathan Nolan,Memento,FALSE,memento
